date,symbol,open,high,low,close,volume,pe_ratio,debt_to_equity,beta,momentum_12m
2023-01-03,SPY,380.00,385.00,378.00,384.00,85000000,18.5,1.2,1.00,0.08
2023-01-04,SPY,384.50,388.00,383.00,387.50,82000000,18.6,1.2,1.01,0.09
2023-01-05,SPY,386.00,387.50,381.00,382.00,79000000,18.4,1.2,0.99,0.07
2023-01-06,SPY,383.00,390.00,382.00,389.50,88000000,18.7,1.2,1.02,0.10
2023-01-09,SPY,390.00,392.00,388.00,391.00,75000000,18.8,1.2,1.03,0.11
2023-01-10,SPY,390.50,393.00,389.00,392.50,72000000,18.9,1.2,1.04,0.12
2023-01-11,SPY,393.00,396.00,392.00,395.50,78000000,19.0,1.2,1.05,0.13
2023-01-12,SPY,396.00,398.00,393.00,397.00,74000000,19.1,1.2,1.06,0.14
2023-01-13,SPY,396.50,398.50,395.00,398.00,68000000,19.2,1.2,1.07,0.15
2023-01-17,SPY,398.00,400.00,396.00,399.00,71000000,19.3,1.2,1.08,0.16
2023-01-18,SPY,399.00,401.00,395.00,396.00,83000000,19.1,1.2,1.05,0.14
2023-01-19,SPY,395.00,397.00,393.00,396.50,69000000,19.1,1.2,1.05,0.14
2023-01-20,SPY,397.00,402.00,396.00,401.50,86000000,19.4,1.2,1.09,0.17
2023-01-23,SPY,402.00,404.00,400.00,403.00,73000000,19.5,1.2,1.10,0.18
2023-01-24,SPY,402.50,404.50,401.00,403.50,70000000,19.5,1.2,1.10,0.18
2023-01-25,SPY,402.00,405.00,400.00,404.50,76000000,19.6,1.2,1.11,0.19
2023-01-26,SPY,405.00,408.00,404.00,407.00,81000000,19.7,1.2,1.12,0.20
2023-01-27,SPY,407.00,409.00,405.00,406.00,69000000,19.7,1.2,1.11,0.19
2023-01-30,SPY,405.00,406.50,402.00,403.00,72000000,19.5,1.2,1.09,0.17
2023-01-31,SPY,403.50,407.00,403.00,406.50,75000000,19.6,1.2,1.10,0.18
2023-02-01,SPY,407.00,412.00,406.00,411.00,92000000,19.9,1.2,1.14,0.22
2023-02-02,SPY,412.00,416.00,410.00,415.00,89000000,20.1,1.2,1.16,0.24
2023-02-03,SPY,414.00,415.50,410.00,411.50,84000000,19.9,1.2,1.14,0.22
2023-02-06,SPY,410.00,412.00,408.00,410.00,76000000,19.8,1.2,1.13,0.21
2023-02-07,SPY,409.00,414.00,408.00,413.00,80000000,20.0,1.2,1.15,0.23
2023-02-08,SPY,413.00,414.50,410.00,410.50,77000000,19.8,1.2,1.13,0.21
2023-02-09,SPY,411.00,412.00,406.00,407.00,85000000,19.7,1.2,1.11,0.19
2023-02-10,SPY,406.00,409.00,404.00,408.50,79000000,19.7,1.2,1.12,0.20
2023-02-13,SPY,409.00,413.00,408.50,412.50,74000000,19.9,1.2,1.14,0.22
2023-02-14,SPY,412.00,413.50,410.00,411.00,71000000,19.8,1.2,1.13,0.21
